,0
0,ESGC US Equity
1,CMRX US Equity
2,RGS US Equity
3,BLUE US Equity
4,CPMV US Equity
5,FCEL US Equity
6,EMAN US Equity
7,FNHC US Equity
8,SXC US Equity
9,CRVS US Equity
10,LIXT US Equity
11,CBPI US Equity
12,NBEV US Equity
13,PALT US Equity
14,IDXG US Equity
15,NM US Equity
16,AUD US Equity
17,SOL US Equity
18,STCN US Equity
19,UTI US Equity
20,ENZ US Equity
21,ACER US Equity
22,XPL US Equity
23,AHT US Equity
24,IQ US Equity
25,FREQ US Equity
26,SWN US Equity
27,GTX US Equity
28,OTIC US Equity
29,HUYA US Equity
30,REPH US Equity
31,GNW US Equity
32,YEXT US Equity
33,PBYI US Equity
34,TPST US Equity
35,OPK US Equity
36,WKHS US Equity
37,SMHI US Equity
38,CRDF US Equity
39,CLBS US Equity
40,TENX US Equity
41,ATRS US Equity
42,NAT US Equity
43,CERS US Equity
44,BBGI US Equity
45,CABA US Equity
46,TXMD US Equity
47,HOOK US Equity
48,BNED US Equity
49,YMTX US Equity
50,INTEQ US Equity
51,OSG US Equity
52,CMCT US Equity
53,NEON US Equity
54,LTRPA US Equity
55,FLNT US Equity
56,KALY US Equity
57,ASMB US Equity
58,LMNL US Equity
59,CPHI US Equity
60,PBI US Equity
61,IRIX US Equity
62,GEOS US Equity
63,EVLO US Equity
64,GOTU US Equity
65,IPIX US Equity
66,VEON US Equity
67,IMGN US Equity
68,APWC US Equity
69,CCLP US Equity
70,SBT US Equity
71,ARDX US Equity
72,QTNT US Equity
73,IDEX US Equity
74,OIS US Equity
75,ABCP US Equity
76,SYNE US Equity
77,NERV US Equity
78,BDR US Equity
79,VNTR US Equity
80,MHLD US Equity
81,ZYXI US Equity
82,RCMT US Equity
83,ELTP US Equity
84,ITI US Equity
85,CRGS US Equity
86,RNWK US Equity
87,AGTC US Equity
88,SUP US Equity
89,PRSO US Equity
90,AKTS US Equity
91,CRIS US Equity
92,CVM US Equity
93,ONVO US Equity
94,TYME US Equity
95,MRC US Equity
96,AAME US Equity
97,REED US Equity
98,DXYN US Equity
99,CTIC US Equity
100,ETRN US Equity
101,UFAB US Equity
102,STSA US Equity
103,BDSI US Equity
104,PESI US Equity
105,EMKR US Equity
106,SND US Equity
107,BKD US Equity
108,LODE US Equity
109,JCS US Equity
110,AFHIF US Equity
111,SMSI US Equity
112,EGY US Equity
113,SIRI US Equity
114,VTVT US Equity
115,AUTO US Equity
116,HL US Equity
117,MACK US Equity
118,GROW US Equity
119,TAOP US Equity
120,PEI US Equity
121,FLDM US Equity
122,CAWW US Equity
123,MIC US Equity
124,NETI US Equity
125,AERI US Equity
126,FNMA US Equity
127,PRTK US Equity
128,CXDC US Equity
129,ACCO US Equity
130,WWR US Equity
131,PBPB US Equity
132,OCUL US Equity
133,TLGTQ US Equity
134,GSAT US Equity
135,CNDT US Equity
136,LBSR US Equity
137,WATT US Equity
138,TISI US Equity
139,CIA US Equity
140,HDSN US Equity
141,EXPR US Equity
142,AKBA US Equity
143,SREV US Equity
144,CFMS US Equity
145,TME US Equity
146,ACRX US Equity
147,EXTN US Equity
148,EYES US Equity
149,CRXM US Equity
150,HHS US Equity
151,QUOT US Equity
152,ASRT US Equity
153,NYMX US Equity
154,WTRH US Equity
155,SYPR US Equity
156,MFA US Equity
157,TEUM US Equity
158,LUB US Equity
159,ESMC US Equity
160,MFIN US Equity
161,BNET US Equity
162,AXTI US Equity
163,SQBGQ US Equity
164,SRNE US Equity
165,CYCC US Equity
166,AIV US Equity
167,SNCR US Equity
168,MESA US Equity
169,SHMP US Equity
170,INFI US Equity
171,QD US Equity
172,BGCP US Equity
173,VOLT US Equity
174,AVEO US Equity
175,NH US Equity
176,YTEN US Equity
177,ESPR US Equity
178,GNE US Equity
179,BIOF US Equity
180,CRVW US Equity
181,ALTO US Equity
182,ARAV US Equity
183,BHR US Equity
184,PAYD US Equity
185,FBIO US Equity
186,IDRA US Equity
187,BDCO US Equity
188,HBIO US Equity
189,CNF US Equity
190,BBCP US Equity
191,BRFH US Equity
192,XFOR US Equity
193,MHTX US Equity
194,FIXX US Equity
195,CDXC US Equity
196,ATNM US Equity
197,ELDN US Equity
198,VSTM US Equity
199,SIEB US Equity
200,RGLS US Equity
201,RDI US Equity
202,BXRX US Equity
203,RYAM US Equity
204,QUMU US Equity
205,DBRG US Equity
206,GURE US Equity
207,SOI US Equity
208,PSSR US Equity
209,QUIK US Equity
210,PDSB US Equity
211,DESTQ US Equity
212,CTMX US Equity
213,UEC US Equity
214,CNSL US Equity
215,CYTR US Equity
216,TELL US Equity
217,FLMN US Equity
218,IO US Equity
219,LCI US Equity
220,NEX US Equity
221,PLAG US Equity
222,CRMZ US Equity
223,RDUS US Equity
224,USEG US Equity
225,NEGG US Equity
226,SYBX US Equity
227,HRTG US Equity
228,KTCC US Equity
229,CRWS US Equity
230,RVI US Equity
231,ROYL US Equity
232,SIOX US Equity
233,ANTE US Equity
234,CBKCQ US Equity
235,AGRO US Equity
236,CTHR US Equity
237,PWFL US Equity
238,CTSO US Equity
239,GIFI US Equity
240,NVFY US Equity
241,FTI US Equity
242,GLOP US Equity
243,RMNI US Equity
244,ASRV US Equity
245,RLGT US Equity
246,GTHP US Equity
247,AFMD US Equity
248,SEED US Equity
249,SIAF US Equity
250,SIF US Equity
251,GSM US Equity
252,PCTI US Equity
253,CIDM US Equity
254,XXII US Equity
255,DSX US Equity
256,PSIX US Equity
257,ASXC US Equity
258,CDE US Equity
259,TTSH US Equity
260,PGEN US Equity
261,MTRX US Equity
262,FRO US Equity
263,AVTX US Equity
264,GNCA US Equity
265,KOS US Equity
266,VYEY US Equity
267,ACTG US Equity
268,AGRX US Equity
269,STAB US Equity
270,NR US Equity
271,ICD US Equity
272,FACO US Equity
273,RMTI US Equity
274,INO US Equity
275,PFIE US Equity
276,SENS US Equity
277,TPHS US Equity
278,BSPK US Equity
279,OMTK US Equity
280,DCTH US Equity
281,NTWK US Equity
282,SLS US Equity
283,LQMT US Equity
284,VATE US Equity
285,FARM US Equity
286,DHC US Equity
287,AMPY US Equity
288,VHC US Equity
289,UNSS US Equity
290,USX US Equity
291,CRBO US Equity
292,OEG US Equity
293,ZNOG US Equity
294,AFI US Equity
295,MNKKQ US Equity
296,MLCT US Equity
297,SGBI US Equity
298,FMCC US Equity
299,LTBR US Equity
300,BSQR US Equity
301,IBIO US Equity
302,FTFT US Equity
303,RCON US Equity
304,TURV US Equity
305,KBLB US Equity
306,ALR US Equity
307,SITOQ US Equity
308,REFR US Equity
309,CSLT US Equity
310,AXDX US Equity
311,CLRB US Equity
312,CLNE US Equity
313,ADT US Equity
314,TRUE US Equity
315,RBSH US Equity
316,SIEN US Equity
317,FTK US Equity
318,ARCO US Equity
319,EMMS US Equity
320,BYSI US Equity
321,GEG US Equity
322,UIHC US Equity
323,ISR US Equity
324,SALM US Equity
325,BIOL US Equity
326,IMMR US Equity
327,BBI US Equity
328,CLUBQ US Equity
329,GALT US Equity
330,IVFH US Equity
331,NMGX US Equity
332,ABMT US Equity
333,ASC US Equity
334,KFFB US Equity
335,LFVN US Equity
336,OCUP US Equity
337,SFE US Equity
338,GLYC US Equity
339,AVGR US Equity
340,LQDA US Equity
341,AAIC US Equity
342,LWLG US Equity
343,ADMP US Equity
344,ESOA US Equity
345,MBII US Equity
346,DFFN US Equity
347,ADVM US Equity
348,VTGDF US Equity
349,PFMT US Equity
350,RFL US Equity
351,CBAT US Equity
352,TK US Equity
353,GWGH US Equity
354,LWAY US Equity
355,DS US Equity
356,MEIP US Equity
357,PHX US Equity
358,BW US Equity
359,NL US Equity
360,WETF US Equity
361,SCWO US Equity
362,VXRT US Equity
363,HGEN US Equity
364,EVFM US Equity
365,CTLP US Equity
366,ISCO US Equity
367,MOST US Equity
368,HARP US Equity
369,HUSA US Equity
370,MRKR US Equity
371,UOLI US Equity
372,FCCN US Equity
373,CAAS US Equity
374,OESX US Equity
375,BIMI US Equity
376,OGEN US Equity
377,IBRX US Equity
378,PRTY US Equity
379,RRTS US Equity
380,SDRLF US Equity
381,CORR US Equity
382,FTEK US Equity
383,PPSI US Equity
384,CRBP US Equity
385,APLT US Equity
386,MBIO US Equity
387,TH US Equity
388,CDZI US Equity
389,TTNP US Equity
390,GLRE US Equity
391,AVRO US Equity
392,GNSS US Equity
393,ULBI US Equity
394,INSG US Equity
395,TLFA US Equity
396,IMH US Equity
397,OMER US Equity
398,NHTC US Equity
399,APDN US Equity
400,CVU US Equity
401,NBSE US Equity
402,CCO US Equity
403,AGE US Equity
404,BPTH US Equity
405,VBIV US Equity
406,UTSI US Equity
407,SSKN US Equity
408,CPRX US Equity
409,HZN US Equity
410,ELVT US Equity
411,EZPW US Equity
412,GRTS US Equity
413,YMAB US Equity
414,DTIL US Equity
415,RFIL US Equity
416,VASO US Equity
417,EPZM US Equity
418,QUAD US Equity
419,CHS US Equity
420,TRVN US Equity
421,TTOO US Equity
422,DSS US Equity
423,HMTV US Equity
424,MAXD US Equity
425,MDXG US Equity
426,QMCO US Equity
427,WINT US Equity
428,DHX US Equity
429,NLY US Equity
430,ENDP US Equity
431,RCAR US Equity
432,TCRR US Equity
433,CRTX US Equity
434,CGEN US Equity
435,APVO US Equity
436,RBBN US Equity
437,WCUI US Equity
438,MCHX US Equity
439,GCI US Equity
440,ONCT US Equity
441,RIG US Equity
442,SONM US Equity
443,CASI US Equity
444,TUSK US Equity
445,BCEL US Equity
446,NNVC US Equity
447,CALA US Equity
448,ORC US Equity
449,PRKR US Equity
450,GAIA US Equity
451,AATC US Equity
452,FSP US Equity
453,SB US Equity
454,MGTA US Equity
455,AVCO US Equity
456,MEEC US Equity
457,VTNR US Equity
458,SLNG US Equity
459,VFF US Equity
460,INVU US Equity
461,QSEP US Equity
462,ALJJ US Equity
463,CHNR US Equity
464,NINE US Equity
465,TUEM US Equity
466,BASXQ US Equity
467,AXAS US Equity
468,PSTV US Equity
469,NNBR US Equity
470,DHT US Equity
471,BLCM US Equity
472,EPM US Equity
473,AGEN US Equity
474,PRPL US Equity
475,ITP US Equity
476,ACOR US Equity
477,BWEN US Equity
478,MDLM US Equity
479,SFUN US Equity
480,ORN US Equity
481,NWBO US Equity
482,LBTI US Equity
483,HFFG US Equity
484,SLRX US Equity
485,HSTO US Equity
486,ISSC US Equity
487,OCSL US Equity
488,TWO US Equity
489,CNCE US Equity
490,RGSEQ US Equity
491,VRUS US Equity
492,INOD US Equity
493,GEO US Equity
494,AVDL US Equity
495,CRMD US Equity
496,CLSN US Equity
497,GTE US Equity
498,UAMY US Equity
499,JNCE US Equity
500,BKCC US Equity
501,WMC US Equity
502,VERU US Equity
503,CVGI US Equity
504,QRTEA US Equity
505,ZYNE US Equity
506,DWSN US Equity
507,REI US Equity
508,VYNE US Equity
509,WINSF US Equity
510,CREG US Equity
511,ACUR US Equity
512,LXRX US Equity
513,USWS US Equity
514,MTEM US Equity
515,ORGO US Equity
516,XSPA US Equity
517,ACFN US Equity
518,KLDO US Equity
519,GDRZF US Equity
520,MCRB US Equity
521,BSGM US Equity
522,NLST US Equity
523,CHGI US Equity
524,ENG US Equity
525,ACY US Equity
526,JAN US Equity
527,AQMS US Equity
528,TNP US Equity
529,CCTC US Equity
530,KODK US Equity
531,HLX US Equity
532,GEVO US Equity
